classifier,acc_mean,acc_std,auc_mean,auc_std,f1_mean,f1_std,train_acc_mean
Logistic Regression,0.743,0.06852736679604726,0.8073717948717949,0.09139993168816575,0.7473975300062257,0.06166280643324152,0.9442010309278352
Extra Trees,0.7263333333333334,0.06469071717711042,0.8212606837606838,0.05801055779377863,0.7166666666666666,0.06666666666666671,0.9958762886597938
SVM (RBF),0.768,0.05813203362461469,0.8506410256410257,0.09010509200986973,0.7618474118474119,0.07183267085212719,0.9876288659793815
Ensemble (LR+SVM+ET),0.7590000000000001,0.08210156311950868,0.8397435897435898,0.0866142698451808,0.7430381975004401,0.10001402744004985,0.9855670103092784
